name,url,test_types,remote_testing,adaptive
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,K,No,No
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,KS,No,No
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,K,No,No
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,K,No,No
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,BS,No,No
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,BPS,No,No
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,K,No,No
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,S,No,No
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,K,No,No
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,K,No,No
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,K,No,No
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,K,No,No
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,K,No,No
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,P,No,No
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,K,No,No
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,K,No,No
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,K,No,No
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,P,No,No
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,P,No,No
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,K,No,No
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,K,No,No
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,K,No,No
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,P,No,No
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,K,No,No
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,K,No,No
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,K,No,No
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,K,No,No
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,K,No,No
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,K,No,No
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,K,No,No
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,K,No,No
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,K,No,No
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,P,No,No
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,P,No,No
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,CP,No,No
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,PC,No,No
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,CP,No,No
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,CP,No,No
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,CP,No,No
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,PC,No,No
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,K,No,No
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,B,No,No
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,B,No,No
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,B,No,No
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,K,No,No
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,K,No,No
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,K,No,No
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,K,No,No
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,K,No,No
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,K,No,No
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,K,No,No
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,K,No,No
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,K,No,No
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,K,No,No
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,K,No,No
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,K,No,No
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,K,No,No
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,K,No,No
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,K,No,No
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,K,No,No
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,K,No,No
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,CK,No,No
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,B,No,No
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,B,No,No
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,B,No,No
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,K,No,No
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,K,No,No
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,CP,No,No
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,CP,No,No
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,C,No,No
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,K,No,No
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,K,No,No
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,K,No,No
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,K,No,No
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,K,No,No
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,K,No,No
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,K,No,No
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,K,No,No
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,K,No,No
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,K,No,No
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,K,No,No
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,K,No,No
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,K,No,No
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,K,No,No
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,K,No,No
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,K,No,No
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,K,No,No
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,K,No,No
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,K,No,No
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,K,No,No
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,K,No,No
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,K,No,No
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,K,No,No
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,K,No,No
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,K,No,No
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,K,No,No
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,K,No,No
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,K,No,No
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,K,No,No
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,B,No,No
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,B,No,No
